order_id,created_at,website_session_id,user_id,primary_product_id,items_purchased,price_usd,cogs_usd
1,2012-03-19,20,20,1,1,49.99,19.49
2,2012-03-19,104,104,1,1,49.99,19.49
3,2012-03-20,147,147,1,1,49.99,19.49
4,2012-03-20,160,160,1,1,49.99,19.49
5,2012-03-20,177,177,1,1,49.99,19.49
6,2012-03-20,232,232,1,1,49.99,19.49
7,2012-03-20,241,241,1,1,49.99,19.49
8,2012-03-20,295,295,1,1,49.99,19.49
9,2012-03-21,304,304,1,1,49.99,19.49
10,2012-03-21,317,317,1,1,49.99,19.49
11,2012-03-21,321,321,1,1,49.99,19.49
12,2012-03-21,327,327,1,1,49.99,19.49
13,2012-03-21,332,332,1,1,49.99,19.49
14,2012-03-21,336,336,1,1,49.99,19.49
15,2012-03-21,428,428,1,1,49.99,19.49
16,2012-03-21,434,434,1,1,49.99,19.49
17,2012-03-21,465,465,1,1,49.99,19.49
18,2012-03-22,507,507,1,1,49.99,19.49
19,2012-03-22,536,536,1,1,49.99,19.49
20,2012-03-22,615,615,1,1,49.99,19.49
21,2012-03-22,639,639,1,1,49.99,19.49
22,2012-03-23,732,732,1,1,49.99,19.49
23,2012-03-23,750,750,1,1,49.99,19.49
24,2012-03-23,783,783,1,1,49.99,19.49
25,2012-03-24,844,844,1,1,49.99,19.49
26,2012-03-25,908,908,1,1,49.99,19.49
27,2012-03-25,909,909,1,1,49.99,19.49
28,2012-03-25,940,940,1,1,49.99,19.49
29,2012-03-25,954,954,1,1,49.99,19.49
30,2012-03-26,1018,1016,1,1,49.99,19.49
31,2012-03-26,1023,1021,1,1,49.99,19.49
32,2012-03-26,1059,1055,1,1,49.99,19.49
33,2012-03-26,1081,1077,1,1,49.99,19.49
34,2012-03-26,1094,1090,1,1,49.99,19.49
35,2012-03-26,1098,1094,1,1,49.99,19.49
36,2012-03-26,1105,1101,1,1,49.99,19.49
37,2012-03-26,1107,1103,1,1,49.99,19.49
38,2012-03-26,1125,1121,1,1,49.99,19.49
39,2012-03-27,1243,1238,1,1,49.99,19.49
40,2012-03-27,1256,1251,1,1,49.99,19.49
41,2012-03-28,1330,1325,1,1,49.99,19.49
42,2012-03-28,1343,1337,1,1,49.99,19.49
43,2012-03-28,1419,1412,1,1,49.99,19.49
44,2012-03-28,1454,1447,1,1,49.99,19.49
45,2012-03-28,1463,1456,1,1,49.99,19.49
46,2012-03-29,1581,1574,1,1,49.99,19.49
47,2012-03-29,1605,1598,1,1,49.99,19.49
